#,Event,Date,Venue,City
89,THAI FIGHT 100 Years Rajabhat Korat,"May 21, 2023",Nakhon Ratchasima Rajabhat University,"Nakhon Ratchasima, Thailand"
88,THAI FIGHT Rome 2,"April 22, 2023",Palacesaroni,"Rome, Italy"
87,THAI FIGHT KonLakPathum 2,"February 5, 2023",Jumbo Market,"Pathum Thani, Thailand"
86,THAI FIGHT Luang Phor Ruay,"February 5, 2023",Courtyard beside Wat Cherng Khao,"Saraburi, Thailand"
85,THAI FIGHT 100 Years Metropolitan,"December 24, 2022",The courtyard in front of Nimibutr Stadium,"Bangkok, Thailand"
84,THAI FIGHT Vana Nava Huahin,"November 20, 2022",True Arena Huahin,"Hua Hin, Prachuap Khiri Khan, Thailand"
83,THAI FIGHT Vajiravudh,"October 16, 2022",Asiatique the Riverfront,"Bangkok, Thailand"
82,THAI FIGHT Sisaket,"June 26, 2022",Pooyai Heng's Sports Arena,"Sisaket, Thailand"
81,THAI FIGHT Nakhon Sawan,"May 29, 2022",Ban Rai Subdistrict Administrative Organization,"Nakhon Sawan, Thailand"
80,THAI FIGHT Sung Noen,"May 8, 2022",Prasat Muang Khaek,"Suen Noen, Nakhon Ratchasima, Thailand"
79,THAI FIGHT KonLak Pathum,"April 17, 2022",Nakorn Rangsit Multipurpose Square,"Pathum Thani, Thailand"
78,THAI FIGHT Lampang,"March 20, 2022",Wat Phra That Lampang Luang,"Lampang, Thailand"
77,THAI FIGHT Khao Aor,"December 19, 2021",Wat Khao Aor Stadium,"Phatthalung, Thailand"
76,THAI FIGHT Strong,"July 4, 2021",JF Boxing Pattaya,"Pattaya, Chonburi, Thailand"
75,THAI FIGHT DMHTT,"April 25, 2021",Omnoi Stadium,"Samut Sakhon, Thailand"
74,THAI FIGHT Nan,"April 3, 2021","Pa Pei Yard, Huaen Hung Tor","Nan, Thailand"
73,THAI FIGHT Pluak Daeng,"November 28, 2020",CK Plaza,"Rayong, Thailand"
72,THAI FIGHT Korat 2020,"November 7, 2020",City Hall Ground,"Nakhon Ratchasima, Thailand"
71,THAI FIGHT Begins,"October 17, 2020",CentralPlaza Westgate,"Nonthaburi, Thailand"
70,THAI FIGHT New Normal,"September 19, 2020",MCC Hall the Mall Bangkapi,"Bangkok, Thailand"
69,THAI FIGHT Thai Fest in Patong,"December 21, 2019",The Myth Patong,"Phuket, Thailand"
68,THAI FIGHT Mae Sot,"November 23, 2019",Naresuan Stadium,"Mae Sot, Tak, Thailand"
67,THAI FIGHT Bangsaen,"October 26, 2019",Laem Thaen Bangsaen,"Bang Saen Beach, Chonburi, Thailand"
66,THAI FIGHT Kham Chanod,"August 24, 2019",Montatip Hall at UD Town,"Udon Thani, Thailand"
65,THAI FIGHT Betong,"June 29, 2019",Betong Municipal Stadium,"Betong, Yala, Thailand"
64,THAI FIGHT Samui 2019,"April 27, 2019",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
63,THAI FIGHT Mueang Khon 2019,"March 30, 2019",CentralPlaza Nakhon Si Thammarat,"Nakhon Si Thammarat, Thailand"
62,THAI FIGHT Phuket,"February 23, 2019",Laguna Phuket,"Phuket, Thailand"
61,THAI FIGHT Nakhon Ratchasima,"December 22, 2018",City Hall Ground,"Nakhon Ratchasima, Thailand"
60,THAI FIGHT Saraburi,"November 24, 2018",Wat Phra Phutthabat,"Saraburi, Thailand"
59,THAI FIGHT Chiang Rai,"October 27, 2018",CentralPlaza Chiang Rai,"Chiang Rai, Thailand"
58,THAI FIGHT Rayong,"August 15, 2018",Makro Hall Rayong,"Rayong, Thailand"
57,THAI FIGHT Hat Yai,"July 17, 2018",Khlong Hae City Square,"Hat Yai, Songkhla, Thailand"
56,THAI FIGHT Samui 2018,"May 12, 2018",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
55,THAI FIGHT Rome,"April 21, 2018",Atlantico Live,"Rome, Italy"
54,THAI FIGHT Mueang Khon,"March 24, 2018",CentralPlaza Nakhon Si Thammarat,"Nakhon Si Thammarat, Thailand"
53,THAI FIGHT 2017 Bangkok,"January 27, 2018",Bangkok City Hall Square,"Bangkok, Thailand"
52,THAI FIGHT Chiang Mai,"December 23, 2017",CentralPlaza Chiang Mai Airport,"Chiang Mai, Thailand"
51,KHMER THAI FIGHT,"November 25, 2017",Phnom Penh Olympic Indoor Stadium,"Phnom Penh, Cambodia"
50,THAI FIGHT Barcelona,"September 30, 2017",Palau dels Esports de Barcelona,"Barcelona, Spain"
50,THAI FIGHT We Love Yala,"July 15, 2017",Yala Sports University,"Yala, Thailand"
49,THAI FIGHT Italy,"May 27, 2017",PalaRuffini,"Turin, Italy"
48,THAI FIGHT Samui 2017,"April 29, 2017",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
47,THAI FIGHT The Fighter King,"December 24, 2016",CentralWorld Square,"Bangkok, Thailand"
46,THAI FIGHT AIR RACE 1,"November 19, 2016",U-Tapao International Airport,"Rayong, Thailand"
45,THAI FIGHT Chengdu,"October 15, 2016",Sichuan Emeisun City Stadium,"Chengdu, China"
44,THAI FIGHT London,"September 11, 2016",Indigo at the O2 Arena,"London, England, U.K."
43,THAI FIGHT KMITL,"August 20, 2016",King Mongkut's Institute of Technology Ladkrabang,"Bangkok, Thailand"
42,THAI FIGHT Proud to Be Thai,"July 23, 2016",Westgate Hall floor4,"Nonthaburi, Thailand"
41,THAI FIGHT Samui 2016,"April 30, 2016",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
40,THAI FIGHT Paris,"April 18, 2016",Stade Pierre de Coubertin,"Paris, France"
39,THAI FIGHT Korat,"March 19, 2016",Thao Suranari Monument,"Nakhon Ratchasima, Thailand"
38,THAI FIGHT Count Down,"December 31, 2015",CentralPlaza Ratchaprasong,"Bangkok, Thailand"
37,THAI FIGHT 2015: 2nd Round,"November 21, 2015",Royal Police Cadet Academy Sampharn,"Nakhon Pathom, Thailand"
36,THAI FIGHT 2015: First Round,"October 24, 2015",Quân khu 7 Stadium,"Ho Chi Minh City, Vietnam"
35,THAI FIGHT Proud to Be Thai 2015: Moscow,"September 17, 2015",Ray Just Arena,"Moscow, Russia"
34,THAI FIGHT Proud to Be Thai 2015: 100 Years Narathiwat,"August 22, 2015","Maharat Stadium, Su-ngai Kolok","Narathiwat, Thailand"
33,THAI FIGHT Proud to Be Thai 2015: China,"July 18, 2015",Henan Indoor Stadium,"Zhengzhou, China"
32,THAI FIGHT Proud to Be Thai 2015: Samui,"May 12, 2015",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
31,THAI FIGHT Proud to Be Thai 2015: CRMA,"April 14, 2015",Chulachomklao Royal Military Academy,"Nakhon Nayok, Thailand"
30,THAI FIGHT 2014: Competition for the Championship Round,"December 21, 2014",Asiatique the Riverfront,"Bangkok, Thailand"
29,THAI FIGHT 2014: 2nd Round,"November 22, 2014",Wufoo Shopping Center,"Khon Kaen, Thailand"
28,THAI FIGHT 2014: First Round,"October 25, 2014",MCC Hall the Mall Bangkapi,"Bangkok, Thailand"
27,THAI FIGHT World Battle 2014: Vietnam,"September 20, 2014",Phú Thọ Indoor Stadium,"Ho Chi Minh City, Vietnam"
26,THAI FIGHT World Battle 2014: Nakhon Sawan,"August 16, 2014",Nakhon Sawan Gymnasium,"Nakhon Sawan, Thailand"
25,THAI FIGHT World Battle 2014: Macao,"June 28, 2014",Cotai Arena,"Macau, SAR, China"
24,THAI FIGHT World Battle 2014: Chakrinaruebet,"April 16, 2014",HTMS Chakri Naruebet,"Sattahip, Chonburi, Thailand"
23,THAI FIGHT World Battle 2014: Klai Kang Won,"February 22, 2014",Hua Hin Queen's Park,"Hua Hin, Prachuap Khiri Khan, Thailand"
22,THAI FIGHT 2013: Competition for the Championship Round,"December 22, 2013",Sanam Luang,"Bangkok, Thailand"
21,THAI FIGHT 2013: 2nd Round,"November 30, 2013",MCC Hall the Mall Bangkapi,"Bangkok, Thailand"
20,THAI FIGHT 2013: First Round,"October 23, 2013",Nimibutr Stadium,"Bangkok, Thailand"
19,THAI FIGHT Extreme 2013: Pattani,"September 22, 2013",Rainbow Stadium,"Pattani, Thailand"
18,THAI FIGHT Extreme 2013: Bangkok,"June 29, 2013",MCC Hall the Mall Bangkapi,"Bangkok, Thailand"
17,THAI FIGHT Extreme 2013: Pattaya,"April 19, 2013",Bali Hai Pier,"Pattaya, Thailand"
16,THAI FIGHT Extreme 2013: Muay Thai Day,"February 23, 2013",Wat Mahathat Ayutthaya,"Ayutthaya, Thailand"
15,THAI FIGHT 2012: Competition for the Championship Round,"December 16, 2012",Equestrian statue of King Chulalongkorn Square,"Bangkok, Thailand"
14,THAI FIGHT 2012: 2nd Round,"November 25, 2012",Korat Chatchai Hall,"Nakhon Ratchasima, Thailand"
13,THAI FIGHT 2012: First Round,"October 23, 2012",Chanchai Acadium,"Bangkok, Thailand"
12,THAI FIGHT Extreme 2012: France,"September 19, 2012",Palais des Sports de Gerland,"Lyon, France"
11,THAI FIGHT Extreme 2012: England,"August 17, 2012",King Power Stadium,"Leicester, England, U.K."
10,THAI FIGHT Extreme 2012: Pattaya,"April 17, 2012",Bali Hai Pier,"Pattaya, Thailand"
9,THAI FIGHT 2011: Competition for the Championship Round,"December 18, 2011",Equestrian statue of King Chulalongkorn Square,"Bangkok, Thailand"
8,THAI FIGHT 2011: 2nd Round,"November 27, 2011",Imperial World Samrong,"Samut Prakan, Thailand"
7,THAI FIGHT 2011: First Round,"September 25, 2011",Thammasat Rangsit Convention Center,"Pathum Thani, Thailand"
6,THAI FIGHT Extreme 2011: Japan,"August 17, 2011",Ariake Coliseum,"Tokyo, Japan"
5,THAI FIGHT Extreme 2011: Hong Kong,"July 17, 2011",AsiaWorld Arena,"Hong Kong, SAR, China"
4,THAI FIGHT Extreme 2011: France,"May 14, 2011",Palm Beach Cannes,"Cannes, France"
3,THAI FIGHT 2010: Competition for the Championship Round,"December 6, 2010",80th Birthday Stadium,"Nakhon Ratchasima, Thailand"
2,THAI FIGHT 2010: 2nd Round,"October 23, 2010",Indoor Stadium Huamark,"Bangkok, Thailand"
1,THAI FIGHT 2010: First Round,"August 29, 2010",Indoor Stadium Huamark,"Bangkok, Thailand"
